intent,button,entities
affirm,Yes,
ask_builder,Who built you?,
ask_howbuilt,How were you built?,
ask_howdoing,How do you feel?,
ask_howold,How old are you?,
ask_isbot,Are you my bot?,
ask_whatismyname,What is your name?,
ask_whatisiona,What is Rasa?,
ask_whatspossible,What can you do for me?,
ask_wherefrom,Where are you from?,
ask_whoami,Who are you?,
ask_whoisit,Who are you?,
bye,Bye!,
canthelp,You can't help me.,
contact_sales,Talk to Sales,
deny,No,
feedback,I want to give you feedback.,
feedback,{feedback_value} feedback,feedback_value
greet,"Say ""Hi!"" ",
handleinsult,You wanted to insult me ðŸ˜”.,
human_handoff,Talk to a human,
nicetomeeyou,Nice to meet you.,
react_negative,I'm sad!,
react_positive,I'm happy!,
about_timing,Do you want to know about timings {policy_type},policy_type
about_policy,Would you like to know about {policy_type},policy_type
about_leave,Are you taking about {policy_type},policy_type
about_leave,Are you taking about {leave_type} leave,leave_type
telljoke,Tell me a joke!,
thank,Thanks!,
leave_benefits,Are you interested to know about leave - {leave_benefit},leave_benefit
leave_benefits,Are you intetested to know about leave benefits?,
leave_entitlement,Do you wish to know leave entitlement?,
leave_entitlement,Do you wish to know {leave_type} leave entitlement?,leave_type
about_leave,Do you wish to know about leavel policy?,
about_leave,Are you asking about {leave_type} leave?,leave_type
apply_for_benefit,Would you like to apply for a benefit: {policy_type},policy_type
seek_approval,Looks like you are seeking some sort of approval?,
seek_approval,Are you looking for approval process with respect to {policy_type},policy_type
weekend_counted,Do you want to know if weekends/off days are counted as leave in case you are on leave on either side of the weeked/off days?,
about_leave_types,Do you want to information about the different leave types in the company?,
about_policy,Will it help if I give you information about {policy_type},policy_type
about_timing,Would you like to know about cafeteria timings?,
about_payment,Looks like you want to know details regarding payments?,
about_payment,Are you intertest to know about payment related information with respect to {policy_type},policy_type
about_visitors,Are you intetested to know if visitors are allowed?,
about_coupons,Looks like you need information about meal vouchers?,
about_food_options,Information about alternate food options in cafeteria?,
parental_leave_counted,Looks like you want to know if parental leaves are deducted from your leave balance?,
about_tax_saving,Are you looking for tax saving reimbursement benefits?,
about_benefits,Are you looking for some specific benefits?,
about_tax_benefits,Are you looking for tax saving reimbursement benefits?,
about_tax_benefits,Would you like to know about car fuel reimbursement?,fuel
about_tax_benefits,Should I tell you about driver salary entitlement?,chauffeur
about_tax_benefits,Do you want to know about landline bill reimbursements?,landline
about_tax_benefits,Do you want to know about landline bill reimbursements?,internet
about_tax_benefits,Do you want to know about landline bill reimbursements?,mobile
about_tax_benefits,Are you looking for health club related benefits?,health_club
about_tax_benefits,Will it help if I tell you about medical reimbursement benefits?,medical_reimbursement
about_tax_benefits,are you looking for benefits with respect to {policy_type},policy_type
about_accomodation_benefits,Your question seems to be about {accomodation_type} accomodation?,accomodation_type
about_travel_benefits,Would you like to know about travel reimbursement?,
about_travel_benefits,Should I be telling you about {travel_mode} travel?,travel_mode
about_travel_benefits,Do you want to know if your family can also travel?,family
about_exit,Are you looking for exit related formalities?,
patental_leave_benefits,Are you looking for Paternity or Maternity benefits?,
patental_leave_benefits,are you looking for benefits with respect to {policy_type},{policy_type}
